id: a28b3526-5e8a-41de-8e26-e2dc7eaa2850, total_duration_in_sec: 3223.522, numFiles_prod_in_sec: 3195, numFiles_temp_in_sec: 105
id: a32564f4-4e34-4878-9acb-288e1be46b01, total_duration_in_sec: 1068.753, numFiles_prod_in_sec: 1035, numFiles_temp_in_sec: 135
id: a4298b62-c75a-4116-968d-a8184f670b12, total_duration_in_sec: 7815.123, numFiles_prod_in_sec: 7785, numFiles_temp_in_sec: 6750
id: a59ccb4f-e2c7-45a1-8860-a15b2e7ef596, total_duration_in_sec: 4874.56, numFiles_prod_in_sec: 4845, numFiles_temp_in_sec: 2385
id: a5cd5475-25df-4c76-b102-5428ff3414e5, total_duration_in_sec: 5067.521, numFiles_prod_in_sec: 5055, numFiles_temp_in_sec: 2040
id: a6bc7192-55a6-4efd-9060-0218331fa6e1, total_duration_in_sec: 3674.554, numFiles_prod_in_sec: 3645, numFiles_temp_in_sec: 765
id: a6d02fce-ae3c-4b0c-a493-464b7dbaec6f, total_duration_in_sec: 6564.172, numFiles_prod_in_sec: 6495, numFiles_temp_in_sec: 4935
id: a6d6d819-2027-44cb-aaa6-7d044ccb4c0f, total_duration_in_sec: 2354.046, numFiles_prod_in_sec: 2340, numFiles_temp_in_sec: 330
id: a6d956a4-5506-4372-b32d-6ab534b7aac6, total_duration_in_sec: 3423.331, numFiles_prod_in_sec: 3405, numFiles_temp_in_sec: 2220
id: a7dee5c6-27d3-4899-aebb-a916bc178469, total_duration_in_sec: 3764.809, numFiles_prod_in_sec: 3735, numFiles_temp_in_sec: 915
id: a8bcd833-5185-412f-8004-23ad474e5cc1, total_duration_in_sec: 1588.349, numFiles_prod_in_sec: 1545, numFiles_temp_in_sec: 585
id: a8e84e27-6337-407a-b192-8e80da31a77f, total_duration_in_sec: 2707.978, numFiles_prod_in_sec: 2670, numFiles_temp_in_sec: 390
id: a946dc9b-da4b-4437-ac9a-980e0056448c, total_duration_in_sec: 1970.265, numFiles_prod_in_sec: 1950, numFiles_temp_in_sec: 180
id: a9d37445-7739-4af5-865e-c1151e83f11f, total_duration_in_sec: 4563.235, numFiles_prod_in_sec: 4530, numFiles_temp_in_sec: 2985
id: ab4be8ea-cc27-4add-bb06-d550d90c3571, total_duration_in_sec: 9673.823, numFiles_prod_in_sec: 9660, numFiles_temp_in_sec: 8580
id: ab92d7a9-4677-4090-b7f2-d26e0d5bf498, total_duration_in_sec: 3544.434, numFiles_prod_in_sec: 3480, numFiles_temp_in_sec: 1920
id: ab9490a5-d44b-4c40-86dd-1f7af2c37b4f, total_duration_in_sec: 4258.266, numFiles_prod_in_sec: 4170, numFiles_temp_in_sec: 1530
id: abaf7bd5-2d48-4931-956d-ce7daf07f9b0, total_duration_in_sec: 3661.608, numFiles_prod_in_sec: 3645, numFiles_temp_in_sec: 1830
id: ac87d4e5-6d1c-466f-979a-a508420dad3b, total_duration_in_sec: 2493.781, numFiles_prod_in_sec: 2475, numFiles_temp_in_sec: 1050
id: ac90ff7d-419c-42eb-a611-7e1d5fc9c990, total_duration_in_sec: 3429.502, numFiles_prod_in_sec: 3375, numFiles_temp_in_sec: 1845
id: acc2c3ef-0564-40aa-91a1-468dca98f88c, total_duration_in_sec: 8373.171, numFiles_prod_in_sec: 8265, numFiles_temp_in_sec: 4980
id: ad201d30-c3a8-4d00-9f54-18964bac23b4, total_duration_in_sec: 8210.078, numFiles_prod_in_sec: 8160, numFiles_temp_in_sec: 4860
id: ad35627c-84e0-44d8-829c-7962ca8667e3, total_duration_in_sec: 3991.279, numFiles_prod_in_sec: 3975, numFiles_temp_in_sec: 1410
id: ad5160b7-048a-4fa2-8cae-530127781c17, total_duration_in_sec: 1804.993, numFiles_prod_in_sec: 1770, numFiles_temp_in_sec: 210
id: add1dd85-cb5e-4d55-956c-a9193c7332b1, total_duration_in_sec: 1684.827, numFiles_prod_in_sec: 1665, numFiles_temp_in_sec: 405
id: af055091-a198-4090-a782-0a5e0c3a9d8e, total_duration_in_sec: 5668.686, numFiles_prod_in_sec: 5625, numFiles_temp_in_sec: 2205
id: af60f0a2-d9e6-40fa-92bb-7c81d525a3ad, total_duration_in_sec: 3019.163, numFiles_prod_in_sec: 3000, numFiles_temp_in_sec: 2130
id: aff62a1d-2aba-4b96-b29a-9f1f37039bae, total_duration_in_sec: 3125.174, numFiles_prod_in_sec: 3105, numFiles_temp_in_sec: 210
id: b019ea64-2db4-47c6-8484-c28e5ed54b7f, total_duration_in_sec: 2537.621, numFiles_prod_in_sec: 2505, numFiles_temp_in_sec: 135
id: b0c8d344-3e79-4aaa-bc8a-5127e8acc5ff, total_duration_in_sec: 6265.111, numFiles_prod_in_sec: 6210, numFiles_temp_in_sec: 4560
id: b12254b7-967f-49c4-8b75-00e35890d2cb, total_duration_in_sec: 1635.176, numFiles_prod_in_sec: 1620, numFiles_temp_in_sec: 330
id: b2964338-722b-4aa8-bc02-d2267323bce1, total_duration_in_sec: 4578.36, numFiles_prod_in_sec: 4560, numFiles_temp_in_sec: 1125
id: b379ffbf-9091-4e5d-a0ae-f8af3fd5c25b, total_duration_in_sec: 4902.998, numFiles_prod_in_sec: 4875, numFiles_temp_in_sec: 2235
